City,Latitude,Longitude,Country
Gibsons,49.4028,-123.5036,Canada
Colwood,48.4236,-123.4958,Canada
Port Angeles,48.1141,-123.4565,United States
View Royal,48.4517,-123.4339,Canada
North Saanich,48.6142,-123.42,Canada
Esquimalt,48.4306,-123.4147,Canada
Sidney,48.6506,-123.3986,Canada
Central Saanich,48.5142,-123.3839,Canada
Saanich,48.484,-123.381,Canada
Victoria,48.4283,-123.3647,Canada
Roseburg,43.2231,-123.352,United States
Grants Pass,42.4333,-123.3317,United States
Sutherlin,43.3882,-123.3242,United States
Oak Bay,48.4264,-123.3228,Canada
Dallas,44.9221,-123.313,United States
Corvallis,44.5698,-123.2779,United States
Monmouth,44.8505,-123.2284,United States
Ukiah,39.1464,-123.2105,United States
Independence,44.8547,-123.1952,United States
McMinnville,45.211,-123.1918,United States
West Vancouver,49.3667,-123.1667,Canada
Squamish,49.7017,-123.1589,Canada
Santa Clara,44.1154,-123.1344,United States
Richmond,49.1667,-123.1333,Canada
River Road,44.0833,-123.132,United States
Eugene,44.0564,-123.1174,United States
Shelton,47.2186,-123.1121,United States
Forest Grove,45.5243,-123.1097,United States
Vancouver,49.25,-123.1,Canada
Tsawwassen,49.0436,-123.0985,Canada
Albany,44.6272,-123.0965,United States
Ladner,49.0833,-123.0833,Canada
North Vancouver,49.3202,-123.0699,Canada
Delta,49.0847,-123.0586,Canada
Cottage Grove,43.796,-123.0573,United States
Cornelius,45.5188,-123.051,United States
Salem,44.9233,-123.0244,United States
Keizer,45.0028,-123.0243,United States
Cloverdale,38.7962,-123.0152,United States
Springfield,44.0538,-122.9811,United States
Hayesville,44.9793,-122.9738,United States
Four Corners,44.929,-122.9732,United States
Centralia,46.7223,-122.9696,United States
Burnaby,49.2667,-122.9667,Canada
Longview,46.1461,-122.963,United States
Newberg,45.3075,-122.9601,United States
Whistler,50.1208,-122.9544,Canada
Hillsboro,45.5273,-122.936,United States
Tumwater,46.9891,-122.9175,United States
Central Point,42.3764,-122.9111,United States
New Westminster,49.2069,-122.9111,Canada
Lebanon,44.5317,-122.9071,United States
Olympia,47.0417,-122.8959,United States
Kelso,46.1236,-122.8909,United States
Rockcreek,45.5526,-122.876,United States
Aloha,45.492,-122.8725,United States
Healdsburg,38.6224,-122.8651,United States
Woodburn,45.1472,-122.8603,United States
Medford,42.3372,-122.854,United States
Surrey,49.19,-122.8489,Canada
Sherwood,45.3594,-122.8427,United States
Oak Hills,45.5405,-122.8413,United States
Bethany,45.5614,-122.837,United States
White City,42.4316,-122.8322,United States
Bull Mountain,45.4125,-122.832,United States
Port Moody,49.2831,-122.8317,Canada
Beaverton,45.4779,-122.8168,United States
St. Helens,45.8572,-122.8164,United States
Windsor,38.5422,-122.8089,United States
Cedar Hills,45.5047,-122.8053,United States
White Rock,49.025,-122.8028,Canada
Eagle Point,42.4677,-122.8016,United States
Cedar Mill,45.5355,-122.8006,United States
Lacey,47.0462,-122.7933,United States
Coquitlam,49.2839,-122.7919,Canada
Port Townsend,48.122,-122.7877,United States
Tigard,45.4237,-122.7845,United States
Port Coquitlam,49.2625,-122.7811,Canada
Silverton,45.003,-122.7808,United States
Tualatin,45.3772,-122.7748,United States
Wilsonville,45.3109,-122.7702,United States
Birch Bay,48.9243,-122.7519,United States
Prince George,53.9169,-122.7494,Canada
Bremerton,47.5436,-122.7121,United States
Felida,45.7138,-122.7103,United States
Santa Rosa,38.4458,-122.7067,United States
Ridgefield,45.8114,-122.7051,United States
Sweet Home,44.4023,-122.7028,United States
Lake Oswego,45.4129,-122.7004,United States
Ashland,42.1905,-122.6992,United States
Rohnert Park,38.3479,-122.6965,United States
Canby,45.2652,-122.6867,United States
Pitt Meadows,49.2333,-122.6833,Canada
Silverdale,47.6663,-122.6828,United States
Salmon Creek,45.7099,-122.6632,United States
Port Orchard,47.5163,-122.661,United States
Langley,49.0987,-122.6597,Canada
Hazel Dell,45.6797,-122.6553,United States
Portland,45.5371,-122.65,United States
DuPont,47.1079,-122.6495,United States
Poulsbo,47.7417,-122.6407,United States
Artondale,47.3021,-122.6406,United States
West Linn,45.367,-122.6399,United States
Oak Grove,45.4156,-122.6349,United States
Oak Harbor,48.2964,-122.6333,United States
Clearlake,38.9589,-122.633,United States
Mount Vista,45.7373,-122.6316,United States
Anacortes,48.4878,-122.6292,United States
Petaluma,38.2423,-122.6266,United States
Yelm,46.9398,-122.6262,United States
Milwaukie,45.4445,-122.6219,United States
Minnehaha,45.6577,-122.6204,United States
Maple Ridge,49.2167,-122.6,Canada
Vancouver,45.6366,-122.5967,United States
Gig Harbor,47.3352,-122.5964,United States
Oatfield,45.4125,-122.594,United States
Gladstone,45.3864,-122.5934,United States
Oregon City,45.3418,-122.5924,United States
Ferndale,48.8526,-122.5894,United States
Molalla,45.1502,-122.5845,United States
Five Corners,45.6883,-122.5738,United States
San Anselmo,37.9821,-122.5699,United States
Fort Lewis,47.0955,-122.5674,United States
Novato,38.092,-122.5575,United States
University Place,47.2147,-122.5461,United States
Bainbridge Island,47.6439,-122.5434,United States
Mill Valley,37.9086,-122.5421,United States
Battle Ground,45.7766,-122.5413,United States
Tamalpais-Homestead Valley,37.8793,-122.5382,United States
Larkspur,37.9393,-122.5312,United States
Orchards,45.689,-122.5306,United States
Lakewood,47.1628,-122.5299,United States
San Rafael,37.9905,-122.5221,United States
Corte Madera,37.9238,-122.5128,United States
Happy Valley,45.4358,-122.5081,United States
Quesnel,52.9784,-122.4927,Canada
Pacifica,37.6113,-122.4782,United States
Vashon,47.4122,-122.4726,United States
Camano,48.1865,-122.4708,United States
Bellingham,48.7548,-122.469,United States
Daly City,37.6862,-122.4685,United States
Tiburon,37.8854,-122.4637,United States
Sonoma,38.2902,-122.4598,United States
Lynden,48.9502,-122.4545,United States
Tacoma,47.2431,-122.4531,United States
San Francisco,37.7558,-122.4449,United States
Damascus,45.4233,-122.4436,United States
Gresham,45.5021,-122.4413,United States
Fairview,45.5469,-122.439,United States
Half Moon Bay,37.4685,-122.4382,United States
Parkland,47.1417,-122.4376,United States
San Bruno,37.6256,-122.4313,United States
Camas,45.6005,-122.4304,United States
Spanaway,47.0979,-122.4233,United States
South San Francisco,37.6538,-122.4196,United States
Midland,47.1734,-122.412,United States
Millbrae,37.5994,-122.4023,United States
Troutdale,45.5372,-122.3955,United States
Shasta Lake,40.679,-122.3775,United States
Burlingame,37.5859,-122.3667,United States
Elk Plain,47.0425,-122.3663,United States
Redding,40.5698,-122.365,United States
Summit,47.1694,-122.3628,United States
Frederickson,47.0916,-122.3603,United States
Hillsborough,37.5572,-122.3586,United States
Edmonds,47.8115,-122.3533,United States
Fife,47.2329,-122.3518,United States
White Center,47.5086,-122.3479,United States
Summit View,47.1343,-122.3467,United States
Washougal,45.5825,-122.3451,United States
San Pablo,37.9629,-122.3426,United States
Shoreline,47.7564,-122.3426,United States
Burien,47.4762,-122.3394,United States
Richmond,37.9477,-122.3389,United States
Federal Way,47.3091,-122.3358,United States
Burlington,48.4676,-122.3298,United States
Seattle,47.6211,-122.3244,United States
Abbotsford,49.05,-122.3167,Canada
Des Moines,47.3914,-122.3156,United States
Milton,47.2524,-122.3153,United States
San Mateo,37.5522,-122.3121,United States
Mount Vernon,48.4203,-122.3115,United States
Mission,49.1337,-122.3112,Canada
Mountlake Terrace,47.7921,-122.3077,United States
Picnic Point,47.8744,-122.3077,United States
Mukilteo,47.9096,-122.3035,United States
Lynnwood,47.8284,-122.3033,United States
El Cerrito,37.9196,-122.3025,United States
Albany,37.8897,-122.3018,United States
Napa,38.2975,-122.301,United States
SeaTac,47.4444,-122.2986,United States
Belmont,37.5154,-122.2953,United States
Anderson,40.4497,-122.295,United States
Emeryville,37.8382,-122.2932,United States
Puyallup,47.1793,-122.2902,United States
Lake Forest Park,47.7574,-122.2864,United States
South Hill,47.1198,-122.2853,United States
Pinole,37.9931,-122.2833,United States
Edgewood,47.2309,-122.2832,United States
Graham,47.0322,-122.2827,United States
Lakeland South,47.2786,-122.2826,United States
Lakeland North,47.3374,-122.2812,United States
North Lynnwood,47.8533,-122.2762,United States
Berkeley,37.8722,-122.276,United States
Tukwila,47.475,-122.2728,United States
Sandy,45.3988,-122.2697,United States
San Carlos,37.4982,-122.2677,United States
Alderwood Manor,47.8146,-122.2672,United States
Alameda,37.7668,-122.267,United States
Foster City,37.5553,-122.2659,United States
American Canyon,38.1796,-122.2583,United States
Lake Stickney,47.8733,-122.2582,United States
Hercules,38.0064,-122.2564,United States
Rodeo,38.0367,-122.2526,United States
Kenmore,47.7516,-122.2489,United States
Red Bluff,40.1735,-122.2413,United States
Bryn Mawr-Skyway,47.4949,-122.241,United States
Bothell West,47.8056,-122.2401,United States
Vallejo,38.1125,-122.2342,United States
Sumner,47.2189,-122.2338,United States
Martha Lake,47.8479,-122.2327,United States
Sedro-Woolley,48.5112,-122.2321,United States
Mercer Island,47.5661,-122.232,United States
Piedmont,37.8225,-122.2301,United States
Redwood City,37.5025,-122.2253,United States
Oakland,37.7904,-122.2166,United States
Kent,47.3887,-122.2128,United States
Orting,47.0967,-122.2112,United States
Auburn,47.3039,-122.2108,United States
Kirkland,47.697,-122.2057,United States
Bothell,47.7735,-122.2044,United States
Mill Creek,47.8631,-122.2037,United States
North Fair Oaks,37.4754,-122.2034,United States
Renton,47.4784,-122.1918,United States
Mill Creek East,47.8361,-122.1877,United States
Bothell East,47.8064,-122.1844,United States
Eastmont,47.8968,-122.1818,United States
Orinda,37.8808,-122.179,United States
Bonney Lake,47.1791,-122.17,United States
Lake Tapps,47.2307,-122.1695,United States
Stanford,37.4252,-122.1674,United States
Menlo Park,37.4685,-122.1673,United States
Everett,47.9525,-122.1669,United States
Newcastle,47.5304,-122.1633,United States
San Leandro,37.7074,-122.1599,United States
Marysville,48.0809,-122.1561,United States
Bellevue,47.5951,-122.1535,United States
Benicia,38.0725,-122.1526,United States
Silver Firs,47.8635,-122.1497,United States
Woodinville,47.757,-122.1477,United States
Palo Alto,37.3905,-122.1468,United States
Arlington,48.1701,-122.1442,United States
Fairwood,47.4467,-122.143,United States
Prairie Ridge,47.1438,-122.1408,United States
Williams Lake,52.1294,-122.1383,Canada
East Palo Alto,37.4671,-122.1352,United States
San Lorenzo,37.6733,-122.1332,United States
Moraga,37.8439,-122.1225,United States
Lafayette,37.8919,-122.1189,United States
Redmond,47.6763,-122.1169,United States
Martinez,37.9985,-122.1161,United States
Ashland,37.6942,-122.1159,United States
Covington,47.3667,-122.1045,United States
Maltby,47.8027,-122.1044,United States
Cherryland,37.6792,-122.1038,United States
Lake Morton-Berrydale,47.3325,-122.1032,United States
Snohomish,47.9276,-122.0969,United States
Los Altos,37.3684,-122.0965,United States
Lake Stevens,48.0024,-122.0953,United States
East Renton Highlands,47.4718,-122.0854,United States
Mountain View,37.4001,-122.0796,United States
Hayward,37.6328,-122.0766,United States
Pleasant Hill,37.9539,-122.0759,United States
Cottage Lake,47.7466,-122.0755,United States
Castro Valley,37.7088,-122.0626,United States
Fairview,37.6758,-122.0473,United States
Issaquah,47.5439,-122.0471,United States
Cupertino,37.3168,-122.0466,United States
Sammamish,47.6017,-122.0416,United States
Walnut Creek,37.9024,-122.0399,United States
Maple Valley,47.3659,-122.0368,United States
Santa Cruz,36.9789,-122.0346,United States
Fairfield,38.2583,-122.0335,United States
Newark,37.5201,-122.0307,United States
Union Hill-Novelty Hill,47.6788,-122.0284,United States
Saratoga,37.2684,-122.0263,United States
Sunnyvale,37.3836,-122.0255,United States
Union City,37.6032,-122.0181,United States
Alamo,37.8548,-122.0136,United States
Scotts Valley,37.0555,-122.0118,United States
Suisun City,38.2473,-122.0091,United States
Concord,37.9722,-122.0016,United States
Enumclaw,47.2018,-121.9897,United States
Monroe,47.8595,-121.9851,United States
Fremont,37.5265,-121.9843,United States
Live Oak,36.986,-121.9804,United States
Danville,37.8121,-121.9698,United States
Santa Clara,37.3646,-121.968,United States
Vacaville,38.3587,-121.9673,United States
Bay Point,38.0329,-121.9615,United States
Los Gatos,37.2304,-121.9562,United States
Campbell,37.2802,-121.9539,United States
Capitola,36.9773,-121.9537,United States
Chilliwack,49.1577,-121.9509,Canada
Soquel,36.9978,-121.9483,United States
San Ramon,37.7624,-121.9365,United States
Clayton,37.9404,-121.9301,United States
Pacific Grove,36.6188,-121.9259,United States
Blackhawk,37.8159,-121.9071,United States
Pittsburg,38.0182,-121.8965,United States
Dublin,37.7161,-121.8963,United States
Milpitas,37.4336,-121.8921,United States
Monterey,36.5919,-121.8808,United States
Rio del Mar,36.9607,-121.8807,United States
Pleasanton,37.6663,-121.8805,United States
San Jose,37.3012,-121.848,United States
Snoqualmie,47.5293,-121.8412,United States
Dixon,38.4469,-121.825,United States
Alum Rock,37.3694,-121.8238,United States
Seaside,36.6224,-121.8199,United States
Chico,39.7578,-121.8161,United States
Antioch,37.9787,-121.796,United States
Marina,36.681,-121.7892,United States
Klamath Falls,42.2195,-121.7754,United States
Watsonville,36.9206,-121.7708,United States
Livermore,37.6868,-121.7607,United States
Woodland,38.6712,-121.75,United States
Davis,38.5553,-121.737,United States
Altamont,42.198,-121.7248,United States
Brentwood,37.9356,-121.719,United States
Rio Vista,38.1765,-121.7025,United States
Oakley,37.9929,-121.6952,United States
Prunedale,36.8064,-121.6555,United States
Morgan Hill,37.1325,-121.6419,United States
Yuba City,39.1357,-121.6383,United States
Salinas,36.6883,-121.6317,United States
Magalia,39.8228,-121.6078,United States
Discovery Bay,37.9063,-121.599,United States
Gilroy,37.0046,-121.5854,United States
Marysville,39.1518,-121.5835,United States
Oroville,39.4999,-121.5634,United States
Olivehurst,39.0795,-121.5566,United States
West Sacramento,38.5557,-121.5505,United States
Mountain House,37.7673,-121.5449,United States
Linda,39.1241,-121.5421,United States
Sacramento,38.5677,-121.4685,United States
Lemon Hill,38.5172,-121.4573,United States
Tracy,37.7269,-121.4523,United States
Parkway,38.4993,-121.452,United States
Gonzales,36.5055,-121.4427,United States
Rio Linda,38.6875,-121.4417,United States
Florin,38.4832,-121.4043,United States
Hollister,36.8555,-121.3986,United States
Arden-Arcade,38.6017,-121.3845,United States
Elk Grove,38.4161,-121.3842,United States
North Highlands,38.6713,-121.3721,United States
Antelope,38.7153,-121.361,United States
Rosemont,38.5478,-121.3553,United States
La Riviera,38.5683,-121.3544,United States
Foothill Farms,38.6867,-121.3475,United States
Soledad,36.4432,-121.3426,United States
Country Club,37.9687,-121.3408,United States
Carmichael,38.6318,-121.3263,United States
Vineyard,38.474,-121.324,United States
Roseville,38.7703,-121.3196,United States
Lathrop,37.809,-121.3131,United States
Stockton,37.9765,-121.3109,United States
Bend,44.0563,-121.3095,United States
Galt,38.2698,-121.3004,United States
Lincoln,38.8774,-121.2937,United States
Lodi,38.1218,-121.2932,United States
Citrus Heights,38.6948,-121.288,United States
August,37.9797,-121.2625,United States
Rancho Cordova,38.5737,-121.2527,United States
Fair Oaks,38.6504,-121.2496,United States
Rocklin,38.8075,-121.2489,United States
Greenfield,36.3242,-121.2428,United States
Garden Acres,37.9637,-121.2296,United States
Manteca,37.7927,-121.2264,United States
Orangevale,38.6881,-121.2209,United States
The Dalles,45.6053,-121.1818,United States
Redmond,44.2612,-121.181,United States
Granite Bay,38.7601,-121.1714,United States
Patterson,37.4758,-121.1536,United States
Folsom,38.6668,-121.1422,United States
King City,36.2164,-121.133,United States
Ripon,37.7417,-121.131,United States
Salida,37.7083,-121.0842,United States
North Auburn,38.9306,-121.082,United States
Auburn,38.895,-121.0777,United States
Grass Valley,39.2238,-121.0522,United States
El Dorado Hills,38.675,-121.049,United States
Newman,37.3156,-121.0212,United States
Modesto,37.6375,-121.0028,United States
Cameron Park,38.6738,-120.9872,United States
Ceres,37.5952,-120.962,United States
Riverbank,37.726,-120.9433,United States
Prineville,44.2985,-120.8607,United States
Turlock,37.5053,-120.8588,United States
Morro Bay,35.3682,-120.8482,United States
Fort St. John,56.2465,-120.8476,Canada
Oakdale,37.7618,-120.8468,United States
Los Banos,37.063,-120.8406,United States
Diamond Springs,38.692,-120.8391,United States
Los Osos,35.3065,-120.8242,United States
Placerville,38.7308,-120.7979,United States
Delhi,37.4306,-120.7759,United States
Waterford,37.6429,-120.7553,United States
Livingston,37.3875,-120.7248,United States
Templeton,35.556,-120.7181,United States
Atascadero,35.4827,-120.6858,United States
San Luis Obispo,35.2669,-120.669,United States
El Paso de Robles,35.6394,-120.656,United States
Grover Beach,35.1204,-120.6197,United States
Winton,37.3854,-120.6173,United States
Susanville,40.4206,-120.6132,United States
Atwater,37.3529,-120.5959,United States
Arroyo Grande,35.1241,-120.5845,United States
Yakima,46.5923,-120.5496,United States
Ellensburg,46.9999,-120.5475,United States
Nipomo,35.0319,-120.4985,United States
Merced,37.3057,-120.4779,United States
Lompoc,34.6618,-120.4714,United States
Santa Maria,34.9333,-120.4431,United States
Terrace Heights,46.6045,-120.4393,United States
Orcutt,34.8691,-120.4222,United States
Mendota,36.7555,-120.3776,United States
Kamloops,50.6761,-120.3408,Canada
Wenatchee,47.436,-120.3295,United States
Coalinga,36.142,-120.3242,United States
Toppenish,46.3806,-120.3122,United States
East Wenatchee,47.4174,-120.2822,United States
Dawson Creek,55.7606,-120.2356,Canada
Chowchilla,37.1095,-120.2349,United States
Truckee,39.3455,-120.1848,United States
Avenal,36.0311,-120.1162,United States
Madera Acres,37.0123,-120.0799,United States
Madera,36.963,-120.0778,United States
Kerman,36.7248,-120.0625,United States
Sunnyside,46.3157,-120.0058,United States
South Lake Tahoe,38.9393,-119.9828,United States
Cold Springs,39.6927,-119.9775,United States
Incline Village,39.2639,-119.9455,United States
Grandview,46.2443,-119.9092,United States
Isla Vista,34.4128,-119.8614,United States
Goleta,34.4361,-119.8594,United States
University of California-Santa Barbara,34.4151,-119.8568,United States
Reno,39.5497,-119.8483,United States
Lemoore,36.2949,-119.7983,United States
Fresno,36.783,-119.7939,United States
Eastern Goleta Valley,34.4448,-119.7879,United States
Sun Valley,39.6104,-119.777,United States
Gardnerville Ranchos,38.8957,-119.7492,United States
Carson City,39.1511,-119.7476,United States
Santa Barbara,34.4285,-119.7202,United States
Sparks,39.5736,-119.7161,United States
Clovis,36.8278,-119.683,United States
Summerland,49.6006,-119.6778,Canada
Spanish Springs,39.6568,-119.6694,United States
Hanford,36.3274,-119.6549,United States
Montecito,34.4384,-119.6309,United States
Selma,36.5715,-119.6143,United States
Penticton,49.4911,-119.5886,Canada
East Kelowna,49.8625,-119.5833,Canada
Dayton,39.2592,-119.5653,United States
Corcoran,36.0841,-119.5613,United States
Kingsburg,36.5244,-119.5602,United States
Sanger,36.699,-119.5575,United States
Parlier,36.6087,-119.5434,United States
Carpinteria,34.3962,-119.5118,United States
Kelowna,49.8881,-119.4956,Canada
Reedley,36.5988,-119.4471,United States
Lake Country,50.0833,-119.4142,Canada
West Richland,46.3115,-119.3999,United States
Dinuba,36.5453,-119.3987,United States
Wasco,35.5938,-119.3671,United States
Tulare,36.1995,-119.34,United States
Visalia,36.3276,-119.3269,United States
Orange Cove,36.6211,-119.3188,United States
Richland,46.2824,-119.2939,United States
Orosi,36.5433,-119.2914,United States
Hermiston,45.8326,-119.2854,United States
Moses Lake,47.1279,-119.2759,United States
Salmon Arm,50.7022,-119.2722,Canada
Vernon,50.267,-119.272,Canada
Delano,35.7662,-119.2635,United States
Coldstream,50.22,-119.2481,Canada
McFarland,35.6781,-119.2413,United States
San Buenaventura,34.2741,-119.2314,United States
Farmersville,36.305,-119.2083,United States
Rosedale,35.3886,-119.2058,United States
Port Hueneme,34.1618,-119.2036,United States
Shafter,35.4794,-119.2013,United States
Fernley,39.5627,-119.1906,United States
Oxnard,34.1964,-119.1815,United States
Kennewick,46.1978,-119.1732,United States
Othello,46.8221,-119.1653,United States
Exeter,36.2941,-119.1459,United States
Pasco,46.2506,-119.1305,United States
Lindsay,36.2082,-119.0897,United States
Santa Paula,34.3545,-119.0656,United States
Bakersfield,35.3529,-119.0359,United States
Porterville,36.0643,-119.0338,United States
Camarillo,34.223,-119.0321,United States
Oildale,35.4293,-119.0306,United States
East Bakersfield,35.3832,-118.9743,United States
Potomac Park,35.3636,-118.965,United States
Hillcrest,35.379,-118.9578,United States
East Niles,35.3683,-118.9225,United States
Fillmore,34.3989,-118.9174,United States
Lamont,35.2659,-118.9159,United States
Moorpark,34.2861,-118.8768,United States
Thousand Oaks,34.1914,-118.8756,United States
Arvin,35.1944,-118.8306,United States
Pendleton,45.6757,-118.8201,United States
Grande Prairie,55.1708,-118.7947,Canada
Malibu,34.037,-118.7839,United States
Fallon,39.4737,-118.7779,United States
Oak Park,34.185,-118.7669,United States
Agoura Hills,34.151,-118.7609,United States
Simi Valley,34.2663,-118.749,United States
Calabasas,34.1375,-118.6689,United States
Castaic,34.4818,-118.6316,United States
Stevenson Ranch,34.3894,-118.5883,United States
Golden Hills,35.1409,-118.4968,United States
Santa Clarita,34.4175,-118.4964,United States
Santa Monica,34.0235,-118.481,United States
Tehachapi,35.1276,-118.4744,United States
Marina del Rey,33.9765,-118.4486,United States
San Fernando,34.2886,-118.4362,United States
Los Angeles,34.1141,-118.4068,United States
Beverly Hills,34.0786,-118.4021,United States
El Segundo,33.917,-118.4018,United States
Palos Verdes Estates,33.7872,-118.3973,United States
Culver City,34.0058,-118.3968,United States
Manhattan Beach,33.8894,-118.3967,United States
Hermosa Beach,33.8653,-118.3962,United States
College Place,46.0419,-118.3878,United States
Redondo Beach,33.8577,-118.3765,United States
West Hollywood,34.0883,-118.3719,United States
Del Aire,33.9167,-118.3693,United States
Rancho Palos Verdes,33.7554,-118.3634,United States
Lennox,33.938,-118.3586,United States
Lawndale,33.8884,-118.3531,United States
View Park-Windsor Hills,33.9955,-118.3483,United States
Hawthorne,33.9147,-118.3476,United States
Inglewood,33.9566,-118.3444,United States
Torrance,33.8346,-118.3416,United States
Walla Walla,46.0671,-118.3368,United States
Burbank,34.1879,-118.3235,United States
Lomita,33.7933,-118.3175,United States
Gardena,33.8943,-118.3072,United States
West Athens,33.9235,-118.3033,United States
Westmont,33.9417,-118.3018,United States
West Carson,33.8229,-118.2931,United States
West Rancho Dominguez,33.9057,-118.2683,United States
Carson,33.8374,-118.2559,United States
Glendale,34.1819,-118.2468,United States
Florence-Graham,33.9682,-118.2447,United States
Willowbrook,33.9209,-118.2356,United States
La Crescenta-Montrose,34.2322,-118.2353,United States
Compton,33.893,-118.2274,United States
Walnut Park,33.9682,-118.222,United States
Huntington Park,33.98,-118.2167,United States
Quartz Hill,34.6527,-118.2163,United States
Rosamond,34.8658,-118.2155,United States
Lynwood,33.924,-118.2016,United States
La Canada Flintridge,34.2097,-118.2002,United States
East Rancho Dominguez,33.8949,-118.1956,United States
South Gate,33.9447,-118.1926,United States
Maywood,33.9886,-118.1877,United States
Cudahy,33.9631,-118.183,United States
Bell,33.9801,-118.1798,United States
Lancaster,34.6935,-118.1753,United States
East Los Angeles,34.0326,-118.1691,United States
Signal Hill,33.803,-118.1681,United States
Long Beach,33.7977,-118.167,United States
Paramount,33.8977,-118.1651,United States
South Pasadena,34.1103,-118.1573,United States
Bell Gardens,33.9663,-118.155,United States
Commerce,33.9963,-118.1519,United States
Pasadena,34.1597,-118.139,United States
Alhambra,34.084,-118.1355,United States
Altadena,34.1927,-118.1346,United States
Monterey Park,34.0497,-118.1326,United States
Downey,33.9379,-118.1311,United States
Bellflower,33.888,-118.1271,United States
